2708,Run Runyon, Beaut Furn Mirror Mini-Suit w/ Firplc!,3008.0,1.4625063336794506e+18,⁨Chas.⁩,City of Los Angeles,Hollywood,34.09625,-118.34605,Private room,67.0,30.0,47,2026-05-26,0.32,2.0,301,3,nan
64574,Hollywood Hills Architectural Home,285079.0,1.46251469277269e+18,Paul,City of Los Angeles,Hollywood Hills,34.12769,-118.32167,Entire home/apt,288.0,30.0,17,2026-05-31,0.12,1.0,150,1,nan
67089,Tranquil Guesthouse Oasis with a Hot Tub,210344.0,1.462512719191779e+18,Brenna,Other Cities,Culver City,34.00985,-118.40798,Entire home/apt,242.0,1.0,911,2026-05-27,4.84,2.0,267,57,nan
69838,L.A. Lifestyle--like you live here,351521.0,1.4625163894267763e+18,Georgia,City of Los Angeles,Mid-City,34.03833,-118.33662,Private room,132.0,2.0,861,2026-06-05,4.63,1.0,269,51,HSR21-001664
74770,Spacious 600 SF. Upstairs Studio with weekly maid,394279.0,1.4625115863214287e+18,Zeev,City of Los Angeles,Encino,34.18177,-118.52621,Entire home/apt,146.0,30.0,284,2026-04-04,1.52,3.0,180,24,HSR19-003866
75212,Sunny Room only in town house nr Long Beach…,343761.0,1.462516196377528e+18,Kris,Other Cities,Lakewood,33.8465,-118.08244,Private room,75.0,2.0,89,2026-03-15,0.48,1.0,311,9,nan
76561,420 Friendly Sweet Lil' Guesthouse by Sofi & LAX,403838.0,1.4625116356497075e+18,Jen,Unincorporated Areas,View Park-Windsor Hills,33.98522,-118.35942,Entire home/apt,163.0,2.0,971,2026-05-31,5.23,1.0,286,50,nan
79502,Silver Lake  million dollar view * luxe patio,428171.0,1.462518155235054e+18,Charlene,City of Los Angeles,Silver Lake,34.08285903930664,-118.27875518798828,Entire home/apt,129.0,30.0,305,2026-04-17,1.66,2.0,270,3,nan
80714,Cozy secluded Guesthouse in Garden,436647.0,1.4625184001369812e+18,Cari,City of Los Angeles,Mid-Wilshire,34.05798,-118.35541,Entire home/apt,88.0,30.0,198,2025-12-01,1.07,1.0,320,1,HSR19-003488
84636,Motel Rm for rent ,Free Wifi and Parking,195697.0,1.4625103830475366e+18,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,98.0,1.0,283,2026-04-19,1.54,6.0,179,5,nan
84789,Mid-Century Ranch Home 4+3 Pool & Spa- Sleeps 10,11619.0,1.4625066704430886e+18,Sarah,City of Los Angeles,Woodland Hills,34.16708,-118.64441,Entire home/apt,nan,30.0,126,2022-07-01,0.86,7.0,359,0,nan
85246,Charming Private Room + Bath | Great Location,466662.0,1.462512007103807e+18,Natalie,City of Los Angeles,Mid-Wilshire,34.05467,-118.36356,Private room,76.0,30.0,23,2026-01-10,0.12,2.0,264,2,nan
86674,Glamorous Silver Lake hills Luxe
patio city views,428171.0,1.462518155235054e+18,Charlene,City of Los Angeles,Silver Lake,34.08195,-118.2784,Entire home/apt,122.0,30.0,283,2026-06-10,1.57,2.0,360,4,nan
86945,See Hollywood! The Most Central!,476742.0,1.4625120668442926e+18,JoyAnne,City of Los Angeles,Beverly Grove,34.08483,-118.36664,Private room,nan,30.0,51,2018-09-14,0.28,1.0,0,0,nan
87595,Good Vibe-Split Level Garden Studio-LAX/Beach/City,479630.0,1.462519420804201e+18,Corbin,City of Los Angeles,Westchester,33.96731,-118.41919,Entire home/apt,98.0,31.0,470,2026-05-18,2.55,1.0,167,3,HSR19-003197
90986,Vintage Charming Guest House,491953.0,1.4625197719614344e+18,Cheryl Francis,City of Los Angeles,Mid-City,34.03948,-118.34081,Entire home/apt,nan,180.0,1,2011-05-21,0.01,1.0,0,0,nan
96334,Private room in a cozy creative home,511559.0,1.462520344603644e+18,Julie,City of Los Angeles,Woodland Hills,34.15401181849794,-118.60378355158,Private room,60.0,30.0,26,2019-07-22,0.14,1.0,87,0,Exempt - This listing is a transient occupancy residential structure
97000,Motel Rm 2beds/micro/fridge/AC/wifi,195697.0,1.4625103830475366e+18,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,115.0,1.0,105,2026-06-01,0.58,6.0,176,3,nan
98284,World Cup Luxury HQ in Beverly Hills 6BR Pool Home,518902.0,1.462520558981789e+18,Dan,City of Los Angeles,Sherman Oaks,34.13258,-118.41202,Entire home/apt,2549.0,3.0,55,2026-01-18,0.3,1.0,360,3,HSR25-001653
101424,LUXURY 1BR IN Los Angeles / K-Town,531428.0,1.462520900655669e+18,Danny,City of Los Angeles,Koreatown,34.06247,-118.29005,Entire home/apt,634.0,30.0,16,2013-04-26,0.09,1.0,177,0,nan
101702,Lovely Echo Park Studio,532541.0,1.462520951804899e+18,Maiana,City of Los Angeles,Echo Park,34.07332,-118.26331,Entire home/apt,225.0,30.0,226,2024-07-08,1.23,2.0,365,0,HSR19-004125
106052,Standalone Studio Cottage Retreat,550047.0,1.4625214197719636e+18,Dean,Other Cities,Carson,33.8271,-118.27944,Entire home/apt,92.0,29.0,466,2023-04-26,2.54,2.0,353,0,nan
106061,Silver Lake Cottage (Los Angeles 90026),550078.0,1.4625214203705303e+18,Darrell,City of Los Angeles,Echo Park,34.08416,-118.26684,Entire home/apt,113.0,30.0,210,2026-04-20,1.14,1.0,228,3,nan
113253,Cali, Cozy, Rustic Log Cabin Feel,576425.0,1.462522353946853e+18,David,City of Los Angeles,Mid-City,34.04884,-118.37155,Private room,49.0,30.0,12,2019-10-20,0.09,1.0,349,0,nan
114203,Executive 1 Bedroom Suite-LUXURY!!!,579779.0,1.4625224729668636e+18,Maggie Chaim,Other Cities,West Hollywood,34.091907218739856,-118.36572272329862,Entire home/apt,133.0,30.0,40,2026-04-30,0.22,1.0,256,1,nan
117276,Topanga Panoramic View Loft + Trails & Creeks,592405.0,1.4625228868068687e+18,David Scott,Unincorporated Areas,Topanga,34.09706,-118.61913,Entire home/apt,170.0,1.0,203,2026-05-29,1.11,5.0,239,71,nan
120005,Motel Rm /free wi-fi and parking,195697.0,1.4625103830475366e+18,Andy,Other Cities,Lynwood,33.91942,-118.20913,Private room,108.0,1.0,75,2022-05-16,0.42,6.0,199,0,nan
121717,Casa Aralia,219283.0,1.4625129457447677e+18,Vacation Living,Unincorporated Areas,Altadena,34.20977,-118.16546,Entire home/apt,232.0,1.0,39,2025-03-30,0.22,5.0,344,0,nan
124199,BEVERLY HILLS APT,619518.0,1.4625130567283525e+18,Gloria,Other Cities,Beverly Hills,34.06547,-118.40422,Entire home/apt,362.0,2.0,146,2026-05-09,0.8,2.0,365,13,nan
376740,Stay in the guest room and get the whole house!,1803588.0,1.462520467032946e+18,Todd,Other Cities,Hermosa Beach,33.85446,-118.39645,Private room,nan,2.0,399,2026-05-31,2.3,2.0,0,24,nan
2694910,PRIVATE ROOM IN 2 BDR APT (FEMALE ONLY),13682855.0,1.4629191116068897e+18,Pedro,City of Los Angeles,Sawtelle,34.04892,-118.46016,Private room,nan,30.0,14,2019-04-05,0.12,3.0,0,0,nan
7385035,Visit Malls and Spas From a  Cozy Townhouse
 Near Pasadena,5068133.0,1.4626720514583575e+18,⁨Niroo( Knee- Roo)⁩,Other Cities,Arcadia,34.12789,-118.06094,Private room,91.0,9.0,60,2025-10-30,0.47,2.0,276,2,nan
12712734,Ocean view studio on the beach,36686276.0,1.465546643700687e+18,Gregor,Other Cities,Hermosa Beach,33.85844,-118.40046,Entire home/apt,nan,5.0,3,2016-08-22,0.02,1.0,0,0,nan
20985214,Central Eagle Rock | Close To Shops & Dining,5990891.0,1.4625433347031555e+18,Jone Nhan,City of Los Angeles,Eagle Rock,34.13747,-118.217491,Entire home/apt,140.0,31.0,40,2024-06-16,0.38,14.0,319,0,nan
30268334,High Desert Oasis,37046384.0,1.4655517423006922e+18,Challen,Other Cities,Palmdale,34.5911,-118.16172,Private room,nan,1.0,22,2019-08-25,0.24,1.0,0,0,nan
30269996,5. Los Angeles suburb Hacienda Heights Beauty,151442610.0,1.4629871129359928e+18,Ricky,Unincorporated Areas,Hacienda Heights,33.99776,-117.94562,Private room,63.0,1.0,257,2026-06-07,2.83,7.0,164,60,nan
30273529,The Modern Apartment,56727552.0,1.4659278757202422e+18,Lisa,Other Cities,Claremont,34.09281,-117.71075,Entire home/apt,245.0,2.0,305,2026-05-27,3.35,1.0,25,23,nan
30274757,Private Room in Brentwood, West LA, 10min to UCLA,163262877.0,1.463026003177501e+18,Silviya,City of Los Angeles,Sawtelle,34.04743,-118.46014,Private room,64.0,30.0,5,2019-03-29,0.06,7.0,365,0,nan
30275201,1 comfortable bed in shared apt near UCLA,163262877.0,1.463026003177501e+18,Silviya,City of Los Angeles,Sawtelle,34.04911,-118.46,Private room,47.0,30.0,10,2020-09-01,0.11,7.0,140,0,nan
30289163,Private Oasis - quiet bdr with en-suite bath,1318259.0,1.4625426402932913e+18,Jennifer,City of Los Angeles,Lake Balboa,34.20083,-118.50652,Private room,nan,30.0,33,2026-05-11,0.36,3.0,45,4,HSR19-001796
30292445,Heart of LA Santa Monica UCLA,225974242.0,1.4692014238366607e+18,Faig,City of Los Angeles,Sawtelle,34.04846,-118.45954,Private room,44.0,30.0,17,2025-06-13,0.19,5.0,151,0,nan
30297942,Studio City Duplex walk to Universal Studios!,144987111.0,1.529322771744646e+18,Adam,City of Los Angeles,Studio City,34.14593,-118.37273,Entire home/apt,nan,30.0,10,2022-07-30,0.11,1.0,0,0,Exempt - This listing is a transient occupancy residential structure
30297969,2BR 1BA 2BED up to 4Guests. Easy and Convenient.,220464303.0,1.4691638147515768e+18,Dennis,Unincorporated Areas,East San Gabriel,34.11676,-118.0753,Private room,nan,1.0,0,nan,nan,1.0,0,0,nan
30315860,Elegantly Furnished Family House in Hip Highland Park,225020818.0,1.4691952497020472e+18,Lucy,City of Los Angeles,Highland Park,34.11196,-118.20282,Entire home/apt,nan,30.0,12,2019-09-09,0.13,3.0,0,0,nan
30315861,Beautiful West Hollywood Furnished 1BR 1BA,73832826.0,1.4628114259698844e+18,Michael,Other Cities,West Hollywood,34.09234,-118.34752,Entire home/apt,nan,365.0,6,2020-09-26,0.07,4.0,269,0,nan
30316132,Bedroom in beautiful home near Universal Studios!,8200331.0,1.462751682289952e+18,Debe,City of Los Angeles,Valley Village,34.15709,-118.38313,Private room,79.0,30.0,8,2023-02-06,0.09,2.0,349,0,nan
30317696,Quiet LA Getaway Home with Pool,30563603.0,1.4654497595144143e+18,Jaisel,City of Los Angeles,Valley Village,34.17061,-118.40554,Entire home/apt,nan,30.0,94,2021-10-31,1.02,1.0,0,0,HSR22-001543
30318865,Silver Lake Sanctuary with Sprawling Terrace View,1454247.0,1.4625463117707983e+18,Tiffany,City of Los Angeles,Silver Lake,34.09238,-118.27688,Entire home/apt,179.0,30.0,47,2026-03-11,0.51,4.0,164,4,nan
30321253,Escape to Catalina Island living at its finest!,32701062.0,1.4654795031576865e+18,Jenny,Other Cities,Avalon,33.35283,-118.33109,Entire home/apt,1130.0,1.0,150,2026-05-15,1.69,3.0,227,30,nan
30321435,Escape to Catalina Island living at its finest!,32701062.0,1.4654795031576865e+18,Jenny,Other Cities,Avalon,33.35409,-118.33106,Entire home/apt,1107.0,1.0,154,2026-04-07,1.8,3.0,248,17,nan
30323590,Private room & bathroom 5 minutes to beach and LAX,227718009.0,1.4632272793218875e+18,Pam,City of Los Angeles,Playa del Rey,33.95889,-118.43633,Private room,nan,30.0,118,2019-09-01,1.28,1.0,0,0,nan
30324346,Modern Studio near LAX • SoFi • Beaches • Freeways,66292265.0,1.4668193557894633e+18,Franklin,Unincorporated Areas,Alondra Park,33.89327,-118.33899,Entire home/apt,227.0,1.0,535,2026-06-07,6.36,3.0,347,64,nan
30328628,Little Donut House on Burbank—Guesthouse for 2+Dog,227750934.0,1.4632273813977203e+18,Elisa,City of Los Angeles,Woodland Hills,34.17131,-118.62315,Entire home/apt,nan,1.0,169,2024-11-16,1.84,1.0,0,0,HSR23-003379
30341938,Tropical Boho style 1b1b with pool&view,223520461.0,1.4691852630066e+18,Rubi,Unincorporated Areas,Hacienda Heights,33.99188,-117.99006,Private room,126.0,2.0,66,2026-05-31,0.73,8.0,46,10,nan
30343811,Excellent Studio in Hollywood-Fully Furnished,112952162.0,1.4673627916643935e+18,Adel,City of Los Angeles,Hollywood,34.10231,-118.34791,Entire home/apt,97.0,31.0,51,2026-04-10,0.56,84.0,269,1,nan
30344160,Stunning Furnished West Hollywood 1BR 1BA,73832826.0,1.4628114259698844e+18,Michael,Other Cities,West Hollywood,34.09093,-118.34879,Entire home/apt,nan,365.0,7,2020-11-30,0.08,4.0,88,0,nan
30344766,Amazingly Furnished 1BR 1BA in West Hollywood,73832826.0,1.4628114259698844e+18,Michael,Other Cities,West Hollywood,34.09063,-118.34848,Entire home/apt,nan,60.0,5,2021-10-31,0.06,4.0,0,0,nan
30346788,Large Two Bedroom Apartment- Extended stays,20290436.0,1.4631036812164337e+18,Victor,Unincorporated Areas,East Los Angeles,34.02414,-118.18294,Entire home/apt,nan,4.0,10,2019-09-14,0.11,5.0,0,0,nan
30346918,Spacious West Hollywood Casita w/ in unit laundry,227862525.0,1.4692136657483681e+18,William,Other Cities,West Hollywood,34.08939,-118.36469,Entire home/apt,115.0,30.0,31,2024-10-22,0.34,1.0,70,0,HSR19-005406
30347652,Minimal Home in Highland Park with Vacation Vibes,2962231.0,1.4626135825795448e+18,Andie,City of Los Angeles,Highland Park,34.11427,-118.18865,Entire home/apt,219.0,3.0,63,2026-06-02,0.69,2.0,116,8,HSR25-001411
30347698,L.A. Westchester Designer Home in Perfect Location,17893629.0,1.4630314217474194e+18,Becky,City of Los Angeles,Westchester,33.97383,-118.40894,Entire home/apt,1826.0,4.0,18,2024-05-04,0.2,1.0,365,0,HSR25-003238
30350595,Cozy guest suite with individual entries,92338535.0,1.467116387900913e+18,Mai,Unincorporated Areas,West Puente Valley,34.04602,-117.96147,Entire home/apt,46.0,31.0,166,2026-05-14,1.81,1.0,250,21,nan
30354121,Poolhouse nxt 2 Universal studio+WB,Disney studio.,31374204.0,1.4626548759273219e+18,Ru,Other Cities,Burbank,34.20449,-118.33592,Entire home/apt,2298.0,2.0,0,nan,nan,18.0,365,0,nan
30366994,Beautiful’ Bedroom Water-views @MarinadelRey,50922135.0,1.4657885787899082e+18,Andy,City of Los Angeles,Venice,33.96791,-118.45438,Private room,234.0,2.0,45,2026-01-01,0.5,1.0,27,17,nan
30800419,4BR • Bar + Lush Backyard • Sleeps 8 • Near Sofi,17954389.0,1.4630327912997614e+18,Korey,City of Los Angeles,Playa Vista,33.98535,-118.40828,Entire home/apt,798.0,3.0,0,nan,nan,1.0,350,0,HSR26-000931
30802068,3 Bedroom/2 Bathroom,156499625.0,1.4685269083512143e+18,Loreni,Other Cities,Lawndale,33.88761,-118.34935,Entire home/apt,377.0,2.0,155,2026-05-25,1.72,2.0,85,23,nan
30803209,Stroll to the Beach in Belmont Shore from a Bohemian Getaway,202137470.0,1.469054831166582e+18,Angela,Other Cities,Long Beach,33.75747,-118.1309,Entire home/apt,343.0,1.0,622,2026-06-01,6.83,1.0,239,55,Nrp22-00932
30820370,Bright, Renovated Mid-Century Silver Lake Bungalow,7155763.0,1.4627248468652667e+18,Elizabeth,City of Los Angeles,Silver Lake,34.08956,-118.27322,Entire home/apt,nan,30.0,2,2019-02-23,0.02,1.0,0,0,HSR19-005403
30820800,Quiet comfortable studio in ❤️of South Pasadena,230439302.0,1.469228657254308e+18,Linda,Other Cities,South Pasadena,34.11231,-118.14649,Entire home/apt,189.0,3.0,144,2026-06-15,1.59,1.0,177,23,nan
30820942,Bandini House- Cozy San Pedro Cottage,124327841.0,1.4629267213025782e+18,Vivian,City of Los Angeles,San Pedro,33.74415,-118.29878,Entire home/apt,165.0,30.0,21,2025-09-14,0.23,1.0,226,2,nan
30827207,StayInLA | PRIVATE MELROSE UNIT THREE,969636.0,1.462534585195842e+18,Matthew,City of Los Angeles,Hancock Park,34.08228,-118.34128,Entire home/apt,102.0,30.0,29,2026-05-05,0.32,9.0,297,1,nan
30858845,Cozy Bungalow with Private Patio /Whittier/ LA/OC,44670174.0,1.465663091188199e+18,Martha,Unincorporated Areas,South Whittier,33.93791,-118.01285,Entire home/apt,155.0,1.0,358,2026-05-30,3.94,2.0,111,14,nan
30859818,Charming Universal City/NoHo arts 950 sqft 2br/2br,143228897.0,1.4629687740493855e+18,Pierre,City of Los Angeles,North Hollywood,34.15967,-118.36886,Entire home/apt,nan,30.0,16,2019-11-30,0.18,1.0,0,0,nan
30862113,BIG GAME: 2.4 mi. (10min) to SoFi, airy & bright!,10857411.0,1.4628512716459676e+18,Maggie,City of Los Angeles,Chesterfield Square,33.98007,-118.31439,Entire home/apt,nan,30.0,4,2019-07-14,0.04,1.0,0,0,HSR22-000039
30884381,Terrific Fully Furnished Hollywood Studio,112952162.0,1.4673627916643935e+18,Adel,City of Los Angeles,Hollywood,34.1031,-118.34732,Entire home/apt,99.0,31.0,89,2026-03-19,0.98,84.0,212,3,nan
30885511,Guest room with private entrance,230057655.0,1.4692264247875333e+18,Sasan,City of Los Angeles,Canoga Park,34.20439,-118.59163,Entire home/apt,64.0,30.0,128,2026-06-04,1.4,4.0,304,1,Exempt - This listing is a bed and breakfast
30904132,Private Hollywood Home,6503106.0,1.462708075201666e+18,Maxwell,City of Los Angeles,East Hollywood,34.08793,-118.30621,Entire home/apt,nan,30.0,0,nan,nan,1.0,0,0,nan
30908710,Poolside Hacienda,5710298.0,1.4626874945062072e+18,Dan,Unincorporated Areas,La Crescenta-Montrose,34.21749,-118.23317,Private room,nan,1.0,2,2019-01-20,0.02,1.0,0,0,nan
30910140,Private room in LA, UCLA WITH fire place, balcony,4780152.0,1.4625372374553434e+18,Sara M,City of Los Angeles,Sawtelle,34.04355,-118.46638,Private room,64.0,30.0,6,2024-09-06,0.07,114.0,365,0,nan
30916602,大床房 靠近disney land 和 Rowland Heights 适合旅游出差,37172275.0,1.465554831892599e+18,Mike,Other Cities,La Habra Heights,33.94924,-117.93621,Private room,68.0,25.0,9,2019-04-15,0.1,1.0,269,0,nan
