6878448.0,1.4625477023098714e+18,City of Los Angeles,34.11786,30.0,2015-02-27,0
3097566.0,1.4626182913507228e+18,Other Cities,34.08338784697017,7.0,2018-09-16,0
1705379.0,1.4625655922246848e+18,City of Los Angeles,34.19141,2.0,2026-06-01,37
1572653.0,1.4625189819921073e+18,Other Cities,33.84692,2.0,2026-05-17,24
66096.0,1.4625081977008236e+18,City of Los Angeles,33.99807,3.0,2019-07-07,0
4342996.0,1.4626543038139756e+18,City of Los Angeles,34.09197185735055,30.0,2016-05-18,0
2974166.0,1.462613904925766e+18,City of Los Angeles,34.15791,30.0,2026-02-20,3
1273446.0,1.462541393903575e+18,Other Cities,33.89067,30.0,2016-07-26,0
57161.0,1.4625078544456804e+18,City of Los Angeles,34.04827,1.0,2026-05-15,28
4577233.0,1.4626606503598367e+18,Other Cities,34.01099,1.0,2026-06-08,24
969636.0,1.462534585195842e+18,City of Los Angeles,34.0869,30.0,2026-05-26,2
2824760.0,1.4625265123176448e+18,City of Los Angeles,34.07695,30.0,2026-04-07,2
3187019.0,1.4626220871624404e+18,Other Cities,34.07688,30.0,2019-07-20,0
4812255.0,1.4626659361306714e+18,City of Los Angeles,33.99932,1.0,2026-06-14,15
1270782.0,1.4625413011768684e+18,Other Cities,33.77511,31.0,2025-09-18,1
866477.0,1.462531740241382e+18,City of Los Angeles,34.11028,2.0,2026-06-01,22
7245047.0,1.4627270165847078e+18,City of Los Angeles,33.99195,30.0,2026-05-01,2
7288907.0,1.4627281216130363e+18,Other Cities,33.75694,31.0,2015-06-18,0
2781593.0,1.4625262578575708e+18,City of Los Angeles,34.11411,30.0,2017-08-16,0
104979697.0,1.4628827618179686e+18,City of Los Angeles,33.98501,31.0,2026-06-07,3
7095361.0,1.462723294950059e+18,City of Los Angeles,33.98185,2.0,2026-05-19,11
3865105.0,1.4626413263686595e+18,City of Los Angeles,34.08282,2.0,2026-04-10,3
5703033.0,1.4626873373158454e+18,Other Cities,34.02748,30.0,2019-08-17,0
5112516.0,1.4625389879277617e+18,City of Los Angeles,34.09806823730469,31.0,2026-01-05,2
5703033.0,1.4626873373158454e+18,Other Cities,34.02825,30.0,2016-10-31,0
5703033.0,1.4626873373158454e+18,Other Cities,34.02924,30.0,2025-11-15,1
5836623.0,1.4626908507800486e+18,Other Cities,33.90122,90.0,2021-04-20,0
1810141.0,1.462520510990379e+18,Other Cities,34.16141,2.0,2025-05-21,0
6121136.0,1.4626984419420506e+18,City of Los Angeles,34.09417,30.0,2024-02-22,0
6182252.0,1.4627000026280164e+18,City of Los Angeles,34.14192,30.0,2025-05-01,0
685976.0,1.46252613613943e+18,City of Los Angeles,34.081763349122745,2.0,2026-06-11,19
7351883.0,1.4625604703478124e+18,City of Los Angeles,33.98682,30.0,2026-05-07,5
27537.0,1.4625070773815224e+18,City of Los Angeles,34.04510929310949,30.0,2023-06-18,0
7635095.0,1.4627371642197737e+18,Other Cities,33.8229,31.0,2025-11-30,3
7653107.0,1.4627376791872402e+18,City of Los Angeles,34.0864,30.0,2016-10-09,0
969636.0,1.462534585195842e+18,City of Los Angeles,34.08267,30.0,2026-06-11,3
5123369.0,1.462673371285258e+18,City of Los Angeles,34.06461,30.0,2022-05-16,0
5260212.0,1.4626765901732198e+18,City of Los Angeles,34.10584,30.0,2024-09-14,0
5320837.0,1.462540031927036e+18,City of Los Angeles,34.07315,365.0,2025-08-13,1
5463897.0,1.4626814484735101e+18,City of Los Angeles,34.02517,30.0,2026-04-04,3
219283.0,1.4625129457447677e+18,Other Cities,34.1598,1.0,2024-09-08,0
8094048.0,1.4627489688495322e+18,Other Cities,33.819183,31.0,2026-02-28,3
8236124.0,1.4625643764016077e+18,City of Los Angeles,34.04603,30.0,2022-01-08,0
5051155.0,1.4626716618112963e+18,City of Los Angeles,34.09069,30.0,2021-12-31,0
8475744.0,1.462768412328067e+18,City of Los Angeles,34.11432,180.0,2021-08-08,0
8500539.0,1.4627689510104996e+18,City of Los Angeles,34.10616,30.0,nan,0
2676887.0,1.4626045873653942e+18,City of Los Angeles,34.054917009128545,30.0,2017-01-03,0
3654259.0,1.4626362400156132e+18,City of Los Angeles,34.07514,2.0,2026-05-25,18
3392276.0,1.4625296712410327e+18,City of Los Angeles,34.04765701293945,30.0,2026-05-08,3
7986854.0,1.4627463374229972e+18,Other Cities,33.88828,30.0,2025-10-10,1
8206200.0,1.4625642478920607e+18,City of Los Angeles,34.24672,31.0,2023-08-08,0
